spread,order_size,depth,slippage
0.1,12031,1541.96,0.004847
0.1,14114,1541.95,0.004847
0.1,19793,1540.18,0.004847
0.1,11307,1542.3700000000001,0.004847
0.1,7677,1542.3700000000001,0.004847
0.1,13567,1542.3700000000001,0.004847
0.1,3693,1542.75,0.004847
0.1,15506,1542.76,0.004847
0.1,3034,1542.75,0.004847
0.1,8780,1542.3700000000001,0.004847
0.1,13354,1542.3700000000001,0.004847
0.1,2280,1495.9700000000003,0.004847
0.1,7913,1510.11,0.004847
0.1,19164,1524.6000000000001,0.004847
0.1,14356,1503.29,0.004847
0.1,6618,1519.5900000000001,0.004847
0.1,13891,1602.52,0.004847
0.1,19587,1607.48,0.004847
0.1,4782,1574.43,0.004847
0.1,14057,1663.3899999999999,0.004847
0.1,3798,1542.39,0.004847
0.1,19770,1542.39,0.004847
0.1,17865,1489.38,0.004847
0.1,19638,1497.2900000000002,0.004847
0.1,2987,1490.9900000000002,0.004847
0.1,17227,1491.1,0.004847
0.1,6675,1496.62,0.004847
0.1,2643,1496.62,0.004847
0.1,11825,1496.62,0.004847
0.1,7599,1496.62,0.004847
0.1,6757,1503.07,0.004847
0.1,4593,1596.83,0.004847
0.1,159,1597.94,0.004847
0.1,15231,1597.9600000000003,0.004847
0.1,16813,1496.18,0.004847
0.1,2303,1496.19,0.004847
0.1,16888,1497.35,0.004847
0.1,17925,1497.33,0.004847
0.1,4329,1497.33,0.004847
0.1,4076,1497.33,0.004847
0.1,14273,1497.31,0.004847
0.1,3853,1497.43,0.004847
0.1,4966,1497.43,0.004847
0.1,11897,1576.88,0.004847
0.1,6296,1485.42,0.004847
0.1,8738,1491.96,0.004847
0.1,2888,1486.07,0.004847
0.1,5230,1474.9799999999998,0.004847
0.1,17358,1485.48,0.004847
0.1,1387,1467.91,0.004847
0.1,8549,1485.48,0.004847
0.1,4133,1484.6,0.004847
0.1,14636,1501.9399999999998,0.004847
0.1,141,1518.4099999999999,0.004847
0.1,1361,1523.87,0.004847
0.1,2449,1497.15,0.004847
0.1,14222,1507.1699999999998,0.004847
0.1,6500,1505.16,0.004847
0.1,9281,1505.16,0.004847
0.1,6102,1505.16,0.004847
0.1,19940,1575.56,0.004847
0.1,10048,1490.56,0.004847
0.1,19593,1490.55,0.004847
0.1,16859,1588.3700000000001,0.004847
0.1,4616,1588.46,0.004847
0.1,15153,1503.46,0.004847
0.1,1582,1501.6,0.004847
0.1,18113,1502.1000000000001,0.004847
0.1,958,1501.6399999999999,0.004847
0.1,10081,1461.6399999999999,0.004847
0.1,10266,1501.62,0.004847
0.1,614,1501.62,0.004847
0.1,15435,1501.7199999999998,0.004847
0.1,5862,1501.84,0.004847
0.1,3906,1501.84,0.004847
0.1,11877,1495.29,0.004847
0.1,18696,1495.73,0.004847
0.1,18371,3915.43,0.004847
0.1,11157,3940.08,0.004847
0.1,4928,4148.0,0.004847
0.1,15028,3130.81,0.004847
0.1,2830,2572.6,0.004847
0.1,11965,2453.74,0.004847
0.1,17115,2465.21,0.004847
0.1,745,2829.59,0.004847
0.1,5998,2829.76,0.004847
0.1,7865,2824.0299999999997,0.004847
0.1,8660,3001.65,0.004847
0.1,17532,3001.83,0.004847
0.1,6403,2990.7700000000004,0.004847
0.1,11583,2882.7,0.004847
0.1,1721,2731.26,0.004847
0.1,3523,2816.5699999999997,0.004847
0.1,8097,2732.79,0.004847
0.1,6153,2734.74,0.004847
0.1,13783,2733.7799999999997,0.004847
0.1,12084,2675.38,0.004847
0.1,15695,2676.54,0.004847
0.1,293,2673.55,0.004847
0.1,19864,2673.74,0.004847
0.1,14929,2673.73,0.004847
0.1,16125,2671.71,0.004847
0.1,2867,2177.91,0.004847
0.1,11035,2225.23,0.004847
0.1,6178,2228.7599999999998,0.004847
0.1,12417,2227.0599999999995,0.004847
0.1,5635,2338.5599999999995,0.004847
0.1,3964,2338.5599999999995,0.004847
0.1,1219,1824.9499999999998,0.004847
0.1,4890,1484.63,0.004847
0.1,12684,2300.09,0.004847
0.1,2721,1273.78,0.004847
0.1,2926,1842.37,0.004847
0.1,14989,1785.13,0.004847
0.1,7217,1808.68,0.004847
0.1,19883,1800.02,0.004847
0.1,5303,1800.52,0.004847
0.1,16376,1229.2499999999998,0.004847
0.1,7803,1217.11,0.004847
0.1,6218,1208.4299999999998,0.004847
0.1,8585,1318.87,0.004847
0.1,3098,1309.9199999999998,0.004847
0.1,7297,1309.9199999999998,0.004847
0.1,3766,1309.9299999999998,0.004847
0.1,4953,1604.0900000000001,0.004847
0.1,11413,1603.77,0.004847
0.1,6409,1604.75,0.004847
0.1,6180,1604.75,0.004847
0.1,17450,1604.75,0.004847
0.1,18518,1604.75,0.004847
0.1,2884,1594.1999999999998,0.004847
0.1,12105,1604.96,0.004847
0.1,2685,1604.96,0.004847
0.1,610,1604.96,0.004847
0.1,8050,1632.11,0.004847
0.1,19087,1641.84,0.004847
0.1,8170,1642.42,0.004847
0.1,3699,1642.31,0.004847
0.1,15637,1640.1,0.004847
0.1,15683,1565.6,0.004847
0.1,14813,1643.46,0.004847
0.1,7651,1643.46,0.004847
0.1,10337,1641.4900000000002,0.004847
